in s,CH2 in V
2.700E-04,-2.700E+00
2.720E-04,-2.660E+00
2.740E-04,-2.700E+00
2.760E-04,-2.700E+00
2.780E-04,-2.660E+00
2.800E-04,-2.700E+00
2.820E-04,-2.700E+00
2.840E-04,-2.700E+00
2.860E-04,-2.660E+00
2.880E-04,-2.700E+00
2.900E-04,-2.700E+00
2.920E-04,-2.700E+00
2.940E-04,-2.700E+00
2.960E-04,-2.700E+00
2.980E-04,-2.700E+00
3.000E-04,-2.660E+00
3.020E-04,-2.700E+00
3.040E-04,-2.660E+00
3.060E-04,-2.700E+00
3.080E-04,-2.700E+00
3.100E-04,-2.700E+00
3.120E-04,-2.660E+00
3.140E-04,-2.700E+00
3.160E-04,-2.660E+00
3.180E-04,-2.700E+00
3.200E-04,-2.700E+00
3.220E-04,-2.700E+00
3.240E-04,-2.700E+00
3.260E-04,-2.700E+00
3.280E-04,-2.700E+00
3.300E-04,-2.700E+00
3.320E-04,-2.660E+00
3.340E-04,-2.660E+00
3.360E-04,-2.660E+00
3.380E-04,-2.700E+00
3.400E-04,-2.660E+00
3.420E-04,-2.700E+00
3.440E-04,-2.700E+00
3.460E-04,-2.700E+00
3.480E-04,-2.700E+00
3.500E-04,-2.660E+00
3.520E-04,-2.700E+00
3.540E-04,-2.700E+00
3.560E-04,-2.700E+00
3.580E-04,-2.700E+00
3.600E-04,-2.700E+00
3.620E-04,-2.660E+00
3.640E-04,-2.700E+00
3.660E-04,-2.700E+00
3.680E-04,-2.700E+00
3.700E-04,-2.700E+00
3.720E-04,-2.700E+00
3.740E-04,-2.660E+00
3.760E-04,-2.700E+00
3.780E-04,-2.700E+00
3.800E-04,-2.660E+00
3.820E-04,-2.700E+00
3.840E-04,-2.700E+00
3.860E-04,-2.700E+00
3.880E-04,-2.700E+00
3.900E-04,-2.700E+00
3.920E-04,-2.700E+00
3.940E-04,-2.700E+00
3.960E-04,-2.700E+00
3.980E-04,-2.700E+00
4.000E-04,-2.700E+00
4.020E-04,-2.700E+00
4.040E-04,-2.700E+00
4.060E-04,-2.700E+00
4.080E-04,-2.700E+00
4.100E-04,-2.700E+00
4.120E-04,-2.700E+00
4.140E-04,-2.700E+00
4.160E-04,-2.660E+00
4.180E-04,-2.700E+00
4.200E-04,-2.700E+00
4.220E-04,-2.700E+00
4.240E-04,-2.700E+00
4.260E-04,-2.700E+00
4.280E-04,-2.700E+00
4.300E-04,-2.700E+00
4.320E-04,-2.700E+00
4.340E-04,-2.700E+00
4.360E-04,-2.700E+00
4.380E-04,-2.700E+00
4.400E-04,-2.700E+00
4.420E-04,-2.700E+00
4.440E-04,-2.700E+00
4.460E-04,-2.700E+00
4.480E-04,-2.700E+00
4.500E-04,-2.700E+00
4.520E-04,-2.700E+00
4.540E-04,-2.700E+00
4.560E-04,-2.700E+00
4.580E-04,-2.700E+00
4.600E-04,-2.700E+00
4.620E-04,-2.700E+00
4.640E-04,-2.700E+00
4.660E-04,-2.700E+00
4.680E-04,-2.700E+00
4.700E-04,-2.700E+00
4.720E-04,-2.700E+00
4.740E-04,-2.700E+00
4.760E-04,-2.700E+00
4.780E-04,-2.700E+00
4.800E-04,-2.700E+00
4.820E-04,-2.660E+00
4.840E-04,-2.700E+00
4.860E-04,-2.700E+00
4.880E-04,-2.700E+00
4.900E-04,-2.700E+00
4.920E-04,-2.700E+00
4.940E-04,-2.700E+00
4.960E-04,-2.700E+00
4.980E-04,-2.700E+00
5.000E-04,-2.700E+00
5.020E-04,-2.700E+00
5.040E-04,-2.700E+00
5.060E-04,-2.700E+00
5.080E-04,-2.700E+00
5.100E-04,-2.700E+00
5.120E-04,-2.700E+00
5.140E-04,-2.700E+00
5.160E-04,-2.660E+00
5.180E-04,-2.700E+00
5.200E-04,-2.700E+00
5.220E-04,-2.700E+00
5.240E-04,-2.700E+00
5.260E-04,-2.700E+00
5.280E-04,-2.700E+00
5.300E-04,-2.700E+00
5.320E-04,-2.700E+00
5.340E-04,-2.700E+00
5.360E-04,-2.700E+00
5.380E-04,-2.700E+00
5.400E-04,-2.700E+00
5.420E-04,-2.700E+00
5.440E-04,-2.660E+00
5.460E-04,-2.700E+00
5.480E-04,-2.660E+00
5.500E-04,-2.700E+00
5.520E-04,-2.700E+00
5.540E-04,-2.700E+00
5.560E-04,-2.700E+00
5.580E-04,-2.700E+00
5.600E-04,-2.700E+00
5.620E-04,-2.700E+00
5.640E-04,-2.700E+00
5.660E-04,-2.700E+00
5.680E-04,-2.700E+00
5.700E-04,-2.660E+00
5.720E-04,-2.700E+00
5.740E-04,-2.700E+00
5.760E-04,-2.700E+00
5.780E-04,-2.700E+00
5.800E-04,-2.700E+00
5.820E-04,-2.700E+00
5.840E-04,-2.700E+00
5.860E-04,-2.700E+00
5.880E-04,-2.700E+00
5.900E-04,-2.700E+00
5.920E-04,-2.700E+00
5.940E-04,-2.660E+00
5.960E-04,-2.700E+00
5.980E-04,-2.700E+00
