in s,CH1 in V,CH2 in V
1.080E-05,-2.760E+00,2.000E-02
1.090E-05,-2.760E+00,2.000E-02
1.100E-05,-2.760E+00,2.000E-02
1.110E-05,-2.760E+00,2.000E-02
1.120E-05,-2.760E+00,2.000E-02
1.130E-05,-2.760E+00,2.000E-02
1.140E-05,-2.760E+00,2.000E-02
1.150E-05,-2.760E+00,2.000E-02
1.160E-05,-2.760E+00,2.000E-02
1.170E-05,-2.760E+00,2.000E-02
1.180E-05,-2.760E+00,2.000E-02
1.190E-05,-2.760E+00,2.000E-02
1.200E-05,-2.760E+00,2.000E-02
1.210E-05,-2.760E+00,2.000E-02
1.220E-05,-2.760E+00,2.000E-02
1.230E-05,-2.760E+00,2.000E-02
1.240E-05,-2.760E+00,2.000E-02
1.250E-05,-2.840E+00,2.000E-02
1.260E-05,-2.840E+00,2.000E-02
1.270E-05,-2.760E+00,2.000E-02
1.280E-05,-2.840E+00,2.000E-02
1.290E-05,-2.760E+00,-2.000E-02
1.300E-05,-2.840E+00,2.000E-02
1.310E-05,-2.840E+00,2.000E-02
1.320E-05,-2.840E+00,2.000E-02
1.330E-05,-2.840E+00,2.000E-02
1.340E-05,-2.760E+00,2.000E-02
1.350E-05,-2.840E+00,2.000E-02
1.360E-05,-2.840E+00,2.000E-02
1.370E-05,-2.840E+00,2.000E-02
1.380E-05,-2.840E+00,2.000E-02
1.390E-05,-2.760E+00,2.000E-02
1.400E-05,-2.840E+00,2.000E-02
1.410E-05,-2.840E+00,2.000E-02
1.420E-05,-2.840E+00,2.000E-02
1.430E-05,-2.840E+00,2.000E-02
1.440E-05,-2.840E+00,2.000E-02
1.450E-05,-2.840E+00,2.000E-02
1.460E-05,-2.840E+00,2.000E-02
1.470E-05,-2.840E+00,2.000E-02
1.480E-05,-2.840E+00,2.000E-02
1.490E-05,-2.840E+00,2.000E-02
1.500E-05,-2.840E+00,2.000E-02
1.510E-05,-2.840E+00,2.000E-02
1.520E-05,-2.840E+00,2.000E-02
1.530E-05,-2.840E+00,2.000E-02
1.540E-05,-2.840E+00,2.000E-02
1.550E-05,-2.840E+00,2.000E-02
1.560E-05,-2.840E+00,2.000E-02
1.570E-05,-2.840E+00,2.000E-02
1.580E-05,-2.840E+00,2.000E-02
1.590E-05,-2.840E+00,2.000E-02
1.600E-05,-2.840E+00,2.000E-02
1.610E-05,-2.840E+00,2.000E-02
1.620E-05,-2.840E+00,2.000E-02
1.630E-05,-2.840E+00,2.000E-02
1.640E-05,-2.840E+00,2.000E-02
1.650E-05,-2.840E+00,2.000E-02
1.660E-05,-2.840E+00,2.000E-02
1.670E-05,-2.840E+00,2.000E-02
1.680E-05,-2.840E+00,2.000E-02
1.690E-05,-2.840E+00,2.000E-02
1.700E-05,-2.840E+00,2.000E-02
1.710E-05,-2.840E+00,2.000E-02
1.720E-05,-2.840E+00,2.000E-02
1.730E-05,-2.840E+00,2.000E-02
1.740E-05,-2.840E+00,2.000E-02
1.750E-05,-2.840E+00,2.000E-02
1.760E-05,-2.840E+00,2.000E-02
1.770E-05,-2.840E+00,2.000E-02
1.780E-05,-2.840E+00,2.000E-02
1.790E-05,-2.840E+00,2.000E-02
1.800E-05,-2.920E+00,2.000E-02
1.810E-05,-2.920E+00,2.000E-02
1.820E-05,-2.840E+00,2.000E-02
1.830E-05,-2.840E+00,2.000E-02
1.840E-05,-2.840E+00,-2.000E-02
1.850E-05,-2.920E+00,2.000E-02
1.860E-05,-2.920E+00,2.000E-02
1.870E-05,-2.920E+00,2.000E-02
1.880E-05,-2.840E+00,2.000E-02
1.890E-05,-2.920E+00,2.000E-02
1.900E-05,-2.920E+00,2.000E-02
1.910E-05,-2.840E+00,2.000E-02
1.920E-05,-2.840E+00,2.000E-02
1.930E-05,-2.920E+00,2.000E-02
1.940E-05,-2.920E+00,2.000E-02
1.950E-05,-2.920E+00,2.000E-02
1.960E-05,-2.920E+00,2.000E-02
1.970E-05,-2.920E+00,-2.000E-02
1.980E-05,-2.920E+00,2.000E-02
1.990E-05,-2.920E+00,2.000E-02
2.000E-05,-2.840E+00,2.000E-02
2.010E-05,-2.920E+00,2.000E-02
2.020E-05,-2.920E+00,2.000E-02
2.030E-05,-2.920E+00,2.000E-02
2.040E-05,-2.920E+00,2.000E-02
2.050E-05,-2.920E+00,2.000E-02
2.060E-05,-2.840E+00,2.000E-02
2.070E-05,-2.920E+00,2.000E-02
2.080E-05,-2.840E+00,2.000E-02
2.090E-05,-2.920E+00,2.000E-02
2.100E-05,-2.920E+00,2.000E-02
2.110E-05,-2.920E+00,2.000E-02
2.120E-05,-2.920E+00,2.000E-02
2.130E-05,-2.920E+00,2.000E-02
2.140E-05,-2.920E+00,2.000E-02
2.150E-05,-2.920E+00,2.000E-02
2.160E-05,-2.920E+00,2.000E-02
2.170E-05,-2.920E+00,2.000E-02
2.180E-05,-2.920E+00,2.000E-02
2.190E-05,-2.920E+00,2.000E-02
2.200E-05,-2.920E+00,2.000E-02
2.210E-05,-2.920E+00,2.000E-02
2.220E-05,-2.920E+00,2.000E-02
2.230E-05,-2.920E+00,2.000E-02
2.240E-05,-2.920E+00,2.000E-02
2.250E-05,-2.920E+00,2.000E-02
2.260E-05,-2.920E+00,2.000E-02
2.270E-05,-2.920E+00,2.000E-02
2.280E-05,-2.920E+00,2.000E-02
2.290E-05,-2.920E+00,2.000E-02
2.300E-05,-2.920E+00,2.000E-02
2.310E-05,-2.920E+00,2.000E-02
2.320E-05,-2.840E+00,2.000E-02
2.330E-05,-2.840E+00,2.000E-02
2.340E-05,-2.920E+00,2.000E-02
2.350E-05,-2.920E+00,2.000E-02
2.360E-05,-2.920E+00,2.000E-02
2.370E-05,-2.920E+00,2.000E-02
2.380E-05,-2.840E+00,2.000E-02
2.390E-05,-2.920E+00,2.000E-02
2.400E-05,-2.920E+00,2.000E-02
2.410E-05,-2.920E+00,2.000E-02
2.420E-05,-2.920E+00,2.000E-02
2.430E-05,-2.920E+00,2.000E-02
2.440E-05,-2.920E+00,2.000E-02
2.450E-05,-2.920E+00,-2.000E-02
2.460E-05,-2.920E+00,2.000E-02
2.470E-05,-2.920E+00,2.000E-02
2.480E-05,-2.920E+00,2.000E-02
2.490E-05,-2.920E+00,2.000E-02
2.500E-05,-2.920E+00,2.000E-02
2.510E-05,-2.920E+00,2.000E-02
2.520E-05,-2.920E+00,2.000E-02
2.530E-05,-2.920E+00,2.000E-02
2.540E-05,-2.840E+00,2.000E-02
2.550E-05,-2.920E+00,2.000E-02
2.560E-05,-2.920E+00,2.000E-02
2.570E-05,-2.920E+00,2.000E-02
2.580E-05,-2.920E+00,2.000E-02
2.590E-05,-2.920E+00,2.000E-02
2.600E-05,-2.920E+00,2.000E-02
2.610E-05,-2.920E+00,2.000E-02
2.620E-05,-2.920E+00,2.000E-02
2.630E-05,-2.920E+00,2.000E-02
2.640E-05,-2.920E+00,2.000E-02
2.650E-05,-2.920E+00,2.000E-02
2.660E-05,-2.920E+00,-2.000E-02
2.670E-05,-2.920E+00,2.000E-02
2.680E-05,-2.920E+00,2.000E-02
2.690E-05,-2.920E+00,2.000E-02
2.700E-05,-2.920E+00,2.000E-02
2.710E-05,-2.920E+00,2.000E-02
2.720E-05,-2.920E+00,2.000E-02
2.730E-05,-2.920E+00,2.000E-02
2.740E-05,-2.920E+00,2.000E-02
2.750E-05,-2.920E+00,2.000E-02
2.760E-05,-2.920E+00,2.000E-02
2.770E-05,-2.920E+00,2.000E-02
2.780E-05,-2.920E+00,2.000E-02
2.790E-05,-2.920E+00,2.000E-02
2.800E-05,-2.920E+00,2.000E-02
2.810E-05,-2.920E+00,2.000E-02
2.820E-05,-2.920E+00,2.000E-02
2.830E-05,-2.920E+00,2.000E-02
2.840E-05,-2.920E+00,2.000E-02
2.850E-05,-2.920E+00,2.000E-02
2.860E-05,-2.920E+00,2.000E-02
2.870E-05,-2.920E+00,2.000E-02
2.880E-05,-2.920E+00,2.000E-02
2.890E-05,-2.920E+00,2.000E-02
2.900E-05,-2.920E+00,2.000E-02
2.910E-05,-2.920E+00,2.000E-02
2.920E-05,-2.920E+00,2.000E-02
2.930E-05,-2.920E+00,2.000E-02
2.940E-05,-2.920E+00,2.000E-02
2.950E-05,-2.920E+00,2.000E-02
2.960E-05,-2.920E+00,2.000E-02
2.970E-05,-2.920E+00,2.000E-02
2.980E-05,-2.920E+00,2.000E-02
2.990E-05,-2.920E+00,2.000E-02
